Country,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Code,Annual CO₂ emissions
Albania,Maize,2008,50000,1485.0,1069.54,16.71,ALB,4397043.0
Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,ALB,4397043.0
Albania,Maize,2009,55693,1485.0,1132.5,16.73,ALB,4406552.0
Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,ALB,4406552.0
Albania,Maize,2010,66790,1485.0,1311.17,16.52,ALB,4783865.0
Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,ALB,4783865.0
Albania,Maize,2011,59869,1485.0,1302.63,16.45,ALB,5314676.0
Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,ALB,5314676.0
Albania,Maize,2012,67290,1485.0,766.25,16.7,ALB,4850060.0
Albania,Potatoes,2012,250538,1485.0,766.25,16.7,ALB,4850060.0
Albania,Maize,2013,69533,1485.0,982.32,17.41,ALB,5287465.0
Albania,Potatoes,2013,260110,1485.0,982.32,17.41,ALB,5287465.0
Algeria,Maize,1990,16500,89.0,1828.92,17.48,DZA,76737624.0
Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,DZA,76737624.0
Algeria,Maize,1991,19231,89.0,2461.8,16.26,DZA,78806830.0
Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,DZA,78806830.0
Algeria,Maize,1992,22828,89.0,1215.47,16.27,DZA,79883310.0
Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,DZA,79883310.0
Algeria,Maize,1993,12500,89.0,1021.89,17.0,DZA,81943970.0
Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,DZA,81943970.0
Algeria,Maize,1994,4512,89.0,1255.02,17.88,DZA,88608390.0
Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,DZA,88608390.0
Algeria,Maize,1995,16115,89.0,2697.09,17.36,DZA,96776920.0
Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,DZA,96776920.0
Algeria,Maize,1996,17154,89.0,479.77,16.76,DZA,100039430.0
Algeria,Potatoes,1996,134629,89.0,479.77,16.76,DZA,100039430.0
Algeria,Maize,1997,21417,89.0,401.22,17.84,DZA,88369416.0
Algeria,Potatoes,1997,141042,89.0,401.22,17.84,DZA,88369416.0
Algeria,Maize,1998,17222,89.0,322.84,17.14,DZA,106536560.0
Algeria,Potatoes,1998,160256,89.0,322.84,17.14,DZA,106536560.0
Algeria,Maize,1999,22375,89.0,654.45,17.97,DZA,91449100.0
Algeria,Potatoes,1999,153532,89.0,654.45,17.97,DZA,91449100.0
Algeria,Maize,2000,36186,89.0,603.67,17.9,DZA,85398600.0
Algeria,Potatoes,2000,166143,89.0,603.67,17.9,DZA,85398600.0
Algeria,Maize,2001,27175,89.0,710.11,18.13,DZA,86839250.0
Algeria,Potatoes,2001,147018,89.0,710.11,18.13,DZA,86839250.0
Algeria,Maize,2002,33480,89.0,816.55,17.85,DZA,90692380.0
Algeria,Potatoes,2002,183774,89.0,816.55,17.85,DZA,90692380.0
Algeria,Maize,2004,31729,89.0,3747.86,17.38,DZA,91714220.0
Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,DZA,91714220.0
Algeria,Maize,2005,33864,89.0,3662.87,17.19,DZA,110992510.0
Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,DZA,110992510.0
Algeria,Maize,2006,65668,89.0,4110.72,18.13,DZA,105896180.0
Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,DZA,105896180.0
Algeria,Maize,2007,85625,89.0,5390.79,17.42,DZA,109889440.0
Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,DZA,109889440.0
Algeria,Maize,2008,44714,89.0,11556.12,17.55,DZA,111087410.0
Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,DZA,111087410.0
Algeria,Maize,2009,30914,89.0,3867.99,17.78,DZA,118856330.0
Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,DZA,118856330.0
Algeria,Maize,2010,25827,89.0,1295.88,17.59,DZA,118353256.0
Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,DZA,118353256.0
Algeria,Maize,2011,23374,89.0,13861.76,17.79,DZA,125094570.0
Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,DZA,125094570.0
Algeria,Maize,2012,25583,89.0,17379.76,17.91,DZA,135674290.0
Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,DZA,135674290.0
Algeria,Maize,2013,33649,89.0,17278.65,17.65,DZA,140786380.0
Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,DZA,140786380.0
Angola,Maize,1990,2736,1010.0,64.0,24.12,AGO,5089864.0
Angola,Potatoes,1990,40000,1010.0,64.0,24.12,AGO,5089864.0
Angola,Maize,1991,4013,1010.0,79.0,24.02,AGO,5064054.0
Angola,Potatoes,1991,40000,1010.0,79.0,24.02,AGO,5064054.0
Angola,Maize,1992,3778,1010.0,23.0,23.96,AGO,5164449.0
Angola,Potatoes,1992,40000,1010.0,23.0,23.96,AGO,5164449.0
Angola,Maize,1993,2627,1010.0,169.0,24.15,AGO,5748389.0
Angola,Potatoes,1993,70000,1010.0,169.0,24.15,AGO,5748389.0
Angola,Maize,1994,2463,1010.0,25.5,24.04,AGO,11353248.0
Angola,Potatoes,1994,90000,1010.0,25.5,24.04,AGO,11353248.0
Angola,Maize,1995,3517,1010.0,336.0,24.56,AGO,12616650.0
Angola,Potatoes,1995,76738,1010.0,336.0,24.56,AGO,12616650.0
Angola,Maize,1996,6993,1010.0,40.0,24.11,AGO,15248957.0
Angola,Potatoes,1996,70000,1010.0,40.0,24.11,AGO,15248957.0
Angola,Maize,1997,5959,1010.0,40.0,24.06,AGO,15884249.0
Angola,Potatoes,1997,68571,1010.0,40.0,24.06,AGO,15884249.0
Angola,Maize,1998,7396,1010.0,40.0,24.96,AGO,16513294.0
Angola,Potatoes,1998,62724,1010.0,40.0,24.96,AGO,16513294.0
Angola,Maize,1999,6361,1010.0,40.0,24.37,AGO,17261278.0
Angola,Potatoes,1999,54597,1010.0,40.0,24.37,AGO,17261278.0
Angola,Maize,2000,5745,1010.0,40.0,24.41,AGO,15995108.0
Angola,Potatoes,2000,29885,1010.0,40.0,24.41,AGO,15995108.0
Angola,Maize,2001,5754,1010.0,40.0,24.43,AGO,15908461.0
Angola,Potatoes,2001,42552,1010.0,40.0,24.43,AGO,15908461.0
Angola,Maize,2002,6706,1010.0,40.0,24.79,AGO,16080002.0
Angola,Potatoes,2002,42754,1010.0,40.0,24.79,AGO,16080002.0
Angola,Maize,2004,5404,1010.0,40.0,24.22,AGO,17015688.0
Angola,Potatoes,2004,20150,1010.0,40.0,24.22,AGO,17015688.0
Angola,Maize,2005,6736,1010.0,40.0,24.41,AGO,15386819.0
Angola,Potatoes,2005,23646,1010.0,40.0,24.41,AGO,15386819.0
Angola,Maize,2006,4687,1010.0,40.0,24.14,AGO,17144838.0
Angola,Potatoes,2006,52148,1010.0,40.0,24.14,AGO,17144838.0
Angola,Maize,2007,5091,1010.0,40.0,24.24,AGO,17587936.0
Angola,Potatoes,2007,62138,1010.0,40.0,24.24,AGO,17587936.0
Angola,Maize,2008,7946,1010.0,40.0,24.27,AGO,18750156.0
Angola,Potatoes,2008,85085,1010.0,40.0,24.27,AGO,18750156.0
Angola,Maize,2009,6614,1010.0,40.0,24.33,AGO,20668332.0
Angola,Potatoes,2009,86509,1010.0,40.0,24.33,AGO,20668332.0
Angola,Maize,2010,7200,1010.0,40.0,24.44,AGO,22983320.0
Angola,Potatoes,2010,87425,1010.0,40.0,24.44,AGO,22983320.0
Angola,Maize,2011,7376,1010.0,40.0,24.15,AGO,23397032.0
Angola,Potatoes,2011,81366,1010.0,40.0,24.15,AGO,23397032.0
Angola,Maize,2012,7770,1010.0,40.0,24.24,AGO,25940960.0
Angola,Potatoes,2012,69381,1010.0,40.0,24.24,AGO,25940960.0
Angola,Maize,2013,9467,1010.0,40.0,24.55,AGO,25709742.0
Angola,Potatoes,2013,63303,1010.0,40.0,24.55,AGO,25709742.0
Argentina,Maize,1990,34608,591.0,26156.0,17.46,ARG,112079090.0
Argentina,Maize,1990,34608,591.0,26156.0,17.46,ARG,112079090.0
Argentina,Maize,1990,34608,591.0,26156.0,17.67,ARG,112079090.0
Argentina,Maize,1990,34608,591.0,26156.0,17.67,ARG,112079090.0
Argentina,Potatoes,1990,202747,591.0,26156.0,17.46,ARG,112079090.0
Argentina,Potatoes,1990,202747,591.0,26156.0,17.46,ARG,112079090.0
Argentina,Potatoes,1990,202747,591.0,26156.0,17.67,ARG,112079090.0
Argentina,Potatoes,1990,202747,591.0,26156.0,17.67,ARG,112079090.0
Argentina,Maize,1991,40444,591.0,26156.0,17.64,ARG,117505740.0
Argentina,Maize,1991,40444,591.0,26156.0,17.64,ARG,117505740.0
Argentina,Maize,1991,40444,591.0,26156.0,17.86,ARG,117505740.0
Argentina,Maize,1991,40444,591.0,26156.0,17.86,ARG,117505740.0
Argentina,Potatoes,1991,205692,591.0,26156.0,17.64,ARG,117505740.0
Argentina,Potatoes,1991,205692,591.0,26156.0,17.64,ARG,117505740.0
Argentina,Potatoes,1991,205692,591.0,26156.0,17.86,ARG,117505740.0
Argentina,Potatoes,1991,205692,591.0,26156.0,17.86,ARG,117505740.0
Argentina,Maize,1992,45237,591.0,26156.0,17.09,ARG,121230584.0
Argentina,Maize,1992,45237,591.0,26156.0,17.09,ARG,121230584.0
Argentina,Maize,1992,45237,591.0,26156.0,17.51,ARG,121230584.0
Argentina,Maize,1992,45237,591.0,26156.0,17.51,ARG,121230584.0
Argentina,Potatoes,1992,199039,591.0,26156.0,17.09,ARG,121230584.0
Argentina,Potatoes,1992,199039,591.0,26156.0,17.09,ARG,121230584.0
Argentina,Potatoes,1992,199039,591.0,26156.0,17.51,ARG,121230584.0
Argentina,Potatoes,1992,199039,591.0,26156.0,17.51,ARG,121230584.0
Argentina,Maize,1993,43552,591.0,26156.0,17.32,ARG,117777490.0
Argentina,Maize,1993,43552,591.0,26156.0,17.32,ARG,117777490.0
Argentina,Maize,1993,43552,591.0,26156.0,17.53,ARG,117777490.0
Argentina,Maize,1993,43552,591.0,26156.0,17.53,ARG,117777490.0
Argentina,Potatoes,1993,210314,591.0,26156.0,17.32,ARG,117777490.0
Argentina,Potatoes,1993,210314,591.0,26156.0,17.32,ARG,117777490.0
Argentina,Potatoes,1993,210314,591.0,26156.0,17.53,ARG,117777490.0
Argentina,Potatoes,1993,210314,591.0,26156.0,17.53,ARG,117777490.0
Argentina,Maize,1994,42371,591.0,30195.0,18.17,ARG,118469420.0
Argentina,Maize,1994,42371,591.0,30195.0,18.17,ARG,118469420.0
Argentina,Maize,1994,42371,591.0,30195.0,18.31,ARG,118469420.0
Argentina,Maize,1994,42371,591.0,30195.0,18.31,ARG,118469420.0
Argentina,Potatoes,1994,230166,591.0,30195.0,18.17,ARG,118469420.0
Argentina,Potatoes,1994,230166,591.0,30195.0,18.17,ARG,118469420.0
Argentina,Potatoes,1994,230166,591.0,30195.0,18.31,ARG,118469420.0
Argentina,Potatoes,1994,230166,591.0,30195.0,18.31,ARG,118469420.0
Argentina,Maize,1995,45223,591.0,37842.0,17.74,ARG,125239784.0
Argentina,Maize,1995,45223,591.0,37842.0,17.74,ARG,125239784.0
Argentina,Maize,1995,45223,591.0,37842.0,17.62,ARG,125239784.0
Argentina,Maize,1995,45223,591.0,37842.0,17.62,ARG,125239784.0
Argentina,Potatoes,1995,274272,591.0,37842.0,17.74,ARG,125239784.0
Argentina,Potatoes,1995,274272,591.0,37842.0,17.74,ARG,125239784.0
Argentina,Potatoes,1995,274272,591.0,37842.0,17.62,ARG,125239784.0
Argentina,Potatoes,1995,274272,591.0,37842.0,17.62,ARG,125239784.0
Argentina,Maize,1996,40397,591.0,54595.0,17.64,ARG,131134840.0
Argentina,Maize,1996,40397,591.0,54595.0,17.64,ARG,131134840.0
Argentina,Maize,1996,40397,591.0,54595.0,17.97,ARG,131134840.0
Argentina,Maize,1996,40397,591.0,54595.0,17.97,ARG,131134840.0
Argentina,Potatoes,1996,228877,591.0,54595.0,17.64,ARG,131134840.0
Argentina,Potatoes,1996,228877,591.0,54595.0,17.64,ARG,131134840.0
Argentina,Potatoes,1996,228877,591.0,54595.0,17.97,ARG,131134840.0
Argentina,Potatoes,1996,228877,591.0,54595.0,17.97,ARG,131134840.0
Argentina,Maize,1997,45557,591.0,77691.0,18.29,ARG,136523740.0
Argentina,Maize,1997,45557,591.0,77691.0,18.29,ARG,136523740.0
Argentina,Maize,1997,45557,591.0,77691.0,18.54,ARG,136523740.0
Argentina,Maize,1997,45557,591.0,77691.0,18.54,ARG,136523740.0
Argentina,Potatoes,1997,268502,591.0,77691.0,18.29,ARG,136523740.0
Argentina,Potatoes,1997,268502,591.0,77691.0,18.29,ARG,136523740.0
Argentina,Potatoes,1997,268502,591.0,77691.0,18.54,ARG,136523740.0
Argentina,Potatoes,1997,268502,591.0,77691.0,18.54,ARG,136523740.0
Argentina,Maize,1998,60780,591.0,62397.0,17.23,ARG,139005000.0
Argentina,Maize,1998,60780,591.0,62397.0,17.23,ARG,139005000.0
Argentina,Maize,1998,60780,591.0,62397.0,17.52,ARG,139005000.0
Argentina,Maize,1998,60780,591.0,62397.0,17.52,ARG,139005000.0
Argentina,Potatoes,1998,293744,591.0,62397.0,17.23,ARG,139005000.0
Argentina,Potatoes,1998,293744,591.0,62397.0,17.23,ARG,139005000.0
Argentina,Potatoes,1998,293744,591.0,62397.0,17.52,ARG,139005000.0
Argentina,Potatoes,1998,293744,591.0,62397.0,17.52,ARG,139005000.0
Argentina,Maize,1999,53702,591.0,62831.39,17.15,ARG,147673550.0
Argentina,Maize,1999,53702,591.0,62831.39,17.15,ARG,147673550.0
Argentina,Maize,1999,53702,591.0,62831.39,17.71,ARG,147673550.0
Argentina,Maize,1999,53702,591.0,62831.39,17.71,ARG,147673550.0
Argentina,Potatoes,1999,238938,591.0,62831.39,17.15,ARG,147673550.0
Argentina,Potatoes,1999,238938,591.0,62831.39,17.15,ARG,147673550.0
Argentina,Potatoes,1999,238938,591.0,62831.39,17.71,ARG,147673550.0
Argentina,Potatoes,1999,238938,591.0,62831.39,17.71,ARG,147673550.0
Argentina,Maize,2000,54329,591.0,63265.78,16.98,ARG,142765220.0
Argentina,Maize,2000,54329,591.0,63265.78,16.98,ARG,142765220.0
Argentina,Maize,2000,54329,591.0,63265.78,17.66,ARG,142765220.0
Argentina,Maize,2000,54329,591.0,63265.78,17.66,ARG,142765220.0
Argentina,Potatoes,2000,277566,591.0,63265.78,16.98,ARG,142765220.0
Argentina,Potatoes,2000,277566,591.0,63265.78,16.98,ARG,142765220.0
Argentina,Potatoes,2000,277566,591.0,63265.78,17.66,ARG,142765220.0
Argentina,Potatoes,2000,277566,591.0,63265.78,17.66,ARG,142765220.0
Argentina,Maize,2001,54553,591.0,63700.17,17.71,ARG,134422270.0
Argentina,Maize,2001,54553,591.0,63700.17,17.71,ARG,134422270.0
Argentina,Maize,2001,54553,591.0,63700.17,18.42,ARG,134422270.0
Argentina,Maize,2001,54553,591.0,63700.17,18.42,ARG,134422270.0
Argentina,Potatoes,2001,283768,591.0,63700.17,17.71,ARG,134422270.0
Argentina,Potatoes,2001,283768,591.0,63700.17,17.71,ARG,134422270.0
Argentina,Potatoes,2001,283768,591.0,63700.17,18.42,ARG,134422270.0
Argentina,Potatoes,2001,283768,591.0,63700.17,18.42,ARG,134422270.0
Argentina,Maize,2002,60791,591.0,64134.56,17.58,ARG,124454620.0
Argentina,Maize,2002,60791,591.0,64134.56,17.58,ARG,124454620.0
Argentina,Maize,2002,60791,591.0,64134.56,18.07,ARG,124454620.0
Argentina,Maize,2002,60791,591.0,64134.56,18.07,ARG,124454620.0
Argentina,Potatoes,2002,251347,591.0,64134.56,17.58,ARG,124454620.0
Argentina,Potatoes,2002,251347,591.0,64134.56,17.58,ARG,124454620.0
Argentina,Potatoes,2002,251347,591.0,64134.56,18.07,ARG,124454620.0
Argentina,Potatoes,2002,251347,591.0,64134.56,18.07,ARG,124454620.0
Argentina,Maize,2004,63931,591.0,65003.34,17.67,ARG,156712420.0
Argentina,Maize,2004,63931,591.0,65003.34,17.67,ARG,156712420.0
Argentina,Maize,2004,63931,591.0,65003.34,18.11,ARG,156712420.0
Argentina,Maize,2004,63931,591.0,65003.34,18.11,ARG,156712420.0
Argentina,Potatoes,2004,288717,591.0,65003.34,17.67,ARG,156712420.0
Argentina,Potatoes,2004,288717,591.0,65003.34,17.67,ARG,156712420.0
Argentina,Potatoes,2004,288717,591.0,65003.34,18.11,ARG,156712420.0
Argentina,Potatoes,2004,288717,591.0,65003.34,18.11,ARG,156712420.0
Argentina,Maize,2005,73587,591.0,65437.73,17.32,ARG,161189180.0
Argentina,Maize,2005,73587,591.0,65437.73,17.32,ARG,161189180.0
Argentina,Maize,2005,73587,591.0,65437.73,17.83,ARG,161189180.0
Argentina,Maize,2005,73587,591.0,65437.73,17.83,ARG,161189180.0
Argentina,Potatoes,2005,283917,591.0,65437.73,17.32,ARG,161189180.0
Argentina,Potatoes,2005,283917,591.0,65437.73,17.32,ARG,161189180.0
Argentina,Potatoes,2005,283917,591.0,65437.73,17.83,ARG,161189180.0
Argentina,Potatoes,2005,283917,591.0,65437.73,17.83,ARG,161189180.0
Argentina,Maize,2006,59030,591.0,65872.12,18.1,ARG,174209920.0
Argentina,Maize,2006,59030,591.0,65872.12,18.1,ARG,174209920.0
Argentina,Maize,2006,59030,591.0,65872.12,18.35,ARG,174209920.0
Argentina,Maize,2006,59030,591.0,65872.12,18.35,ARG,174209920.0
Argentina,Potatoes,2006,285828,591.0,65872.12,18.1,ARG,174209920.0
Argentina,Potatoes,2006,285828,591.0,65872.12,18.1,ARG,174209920.0
Argentina,Potatoes,2006,285828,591.0,65872.12,18.35,ARG,174209920.0
Argentina,Potatoes,2006,285828,591.0,65872.12,18.35,ARG,174209920.0
Argentina,Maize,2007,76655,591.0,81582.64,16.71,ARG,173482060.0
Argentina,Maize,2007,76655,591.0,81582.64,16.71,ARG,173482060.0
Argentina,Maize,2007,76655,591.0,81582.64,17.14,ARG,173482060.0
Argentina,Maize,2007,76655,591.0,81582.64,17.14,ARG,173482060.0
Argentina,Potatoes,2007,286765,591.0,81582.64,16.71,ARG,173482060.0
Argentina,Potatoes,2007,286765,591.0,81582.64,16.71,ARG,173482060.0
Argentina,Potatoes,2007,286765,591.0,81582.64,17.14,ARG,173482060.0
Argentina,Potatoes,2007,286765,591.0,81582.64,17.14,ARG,173482060.0
Argentina,Maize,2008,64525,591.0,87149.01,17.71,ARG,187243460.0
Argentina,Maize,2008,64525,591.0,87149.01,17.71,ARG,187243460.0
Argentina,Maize,2008,64525,591.0,87149.01,18.39,ARG,187243460.0
Argentina,Maize,2008,64525,591.0,87149.01,18.39,ARG,187243460.0
Argentina,Potatoes,2008,279412,591.0,87149.01,17.71,ARG,187243460.0
Argentina,Potatoes,2008,279412,591.0,87149.01,17.71,ARG,187243460.0
Argentina,Potatoes,2008,279412,591.0,87149.01,18.39,ARG,187243460.0
Argentina,Potatoes,2008,279412,591.0,87149.01,18.39,ARG,187243460.0
Argentina,Maize,2009,55760,591.0,61586.56,18.16,ARG,178110960.0
Argentina,Maize,2009,55760,591.0,61586.56,18.16,ARG,178110960.0
Argentina,Maize,2009,55760,591.0,61586.56,18.09,ARG,178110960.0
Argentina,Maize,2009,55760,591.0,61586.56,18.09,ARG,178110960.0
Argentina,Potatoes,2009,284439,591.0,61586.56,18.16,ARG,178110960.0
Argentina,Potatoes,2009,284439,591.0,61586.56,18.16,ARG,178110960.0
Argentina,Potatoes,2009,284439,591.0,61586.56,18.09,ARG,178110960.0
Argentina,Potatoes,2009,284439,591.0,61586.56,18.09,ARG,178110960.0
Argentina,Maize,2010,78040,591.0,105915.04,17.33,ARG,185854340.0
Argentina,Maize,2010,78040,591.0,105915.04,17.33,ARG,185854340.0
Argentina,Maize,2010,78040,591.0,105915.04,17.84,ARG,185854340.0
Argentina,Maize,2010,78040,591.0,105915.04,17.84,ARG,185854340.0
Argentina,Potatoes,2010,289849,591.0,105915.04,17.33,ARG,185854340.0
Argentina,Potatoes,2010,289849,591.0,105915.04,17.33,ARG,185854340.0
Argentina,Potatoes,2010,289849,591.0,105915.04,17.84,ARG,185854340.0
Argentina,Potatoes,2010,289849,591.0,105915.04,17.84,ARG,185854340.0
Argentina,Maize,2011,63503,591.0,100424.62,17.58,ARG,189676100.0
Argentina,Maize,2011,63503,591.0,100424.62,17.58,ARG,189676100.0
Argentina,Maize,2011,63503,591.0,100424.62,17.93,ARG,189676100.0
Argentina,Maize,2011,63503,591.0,100424.62,17.93,ARG,189676100.0
Argentina,Potatoes,2011,286657,591.0,100424.62,17.58,ARG,189676100.0
Argentina,Potatoes,2011,286657,591.0,100424.62,17.58,ARG,189676100.0
Argentina,Potatoes,2011,286657,591.0,100424.62,17.93,ARG,189676100.0
Argentina,Potatoes,2011,286657,591.0,100424.62,17.93,ARG,189676100.0
Argentina,Maize,2012,57346,591.0,136185.08,18.18,ARG,191292110.0
Argentina,Maize,2012,57346,591.0,136185.08,18.18,ARG,191292110.0
Argentina,Maize,2012,57346,591.0,136185.08,18.43,ARG,191292110.0
Argentina,Maize,2012,57346,591.0,136185.08,18.43,ARG,191292110.0
Argentina,Potatoes,2012,287821,591.0,136185.08,18.18,ARG,191292110.0
Argentina,Potatoes,2012,287821,591.0,136185.08,18.18,ARG,191292110.0
Argentina,Potatoes,2012,287821,591.0,136185.08,18.43,ARG,191292110.0
Argentina,Potatoes,2012,287821,591.0,136185.08,18.43,ARG,191292110.0
Argentina,Maize,2013,66037,591.0,171945.54,16.45,ARG,189537740.0
Argentina,Maize,2013,66037,591.0,171945.54,16.45,ARG,189537740.0
Argentina,Maize,2013,66037,591.0,171945.54,16.88,ARG,189537740.0
Argentina,Maize,2013,66037,591.0,171945.54,16.88,ARG,189537740.0
Argentina,Potatoes,2013,288984,591.0,171945.54,16.45,ARG,189537740.0
Argentina,Potatoes,2013,288984,591.0,171945.54,16.45,ARG,189537740.0
Argentina,Potatoes,2013,288984,591.0,171945.54,16.88,ARG,189537740.0
Argentina,Potatoes,2013,288984,591.0,171945.54,16.88,ARG,189537740.0
Armenia,Maize,1992,32344,562.0,8.0,7.44,ARM,5723698.0
Armenia,Potatoes,1992,111301,562.0,8.0,7.44,ARM,5723698.0
Armenia,Maize,1993,32261,562.0,8.0,7.69,ARM,2510247.0
Armenia,Potatoes,1993,134416,562.0,8.0,7.69,ARM,2510247.0
Armenia,Maize,1994,32667,562.0,23.0,8.84,ARM,2684702.0
Armenia,Potatoes,1994,131195,562.0,23.0,8.84,ARM,2684702.0
Armenia,Maize,1995,18261,562.0,23.9,9.76,ARM,3362694.0
Armenia,Potatoes,1995,131196,562.0,23.9,9.76,ARM,3362694.0
Armenia,Maize,1996,22239,562.0,32.0,9.55,ARM,2500312.0
Armenia,Potatoes,1996,129626,562.0,32.0,9.55,ARM,2500312.0
Armenia,Maize,1997,45548,562.0,41.46,9.1,ARM,3252761.0
Armenia,Potatoes,1997,109362,562.0,41.46,9.1,ARM,3252761.0
Armenia,Maize,1998,26082,562.0,50.92,10.28,ARM,3419094.0
Armenia,Potatoes,1998,134409,562.0,50.92,10.28,ARM,3419094.0
Armenia,Maize,1999,40303,562.0,60.38,10.11,ARM,3040204.0
Armenia,Potatoes,1999,130618,562.0,60.38,10.11,ARM,3040204.0
Armenia,Maize,2000,23178,562.0,69.85,9.68,ARM,3491407.0
Armenia,Potatoes,2000,87349,562.0,69.85,9.68,ARM,3491407.0
Armenia,Maize,2001,37913,562.0,79.31,10.18,ARM,3532701.0
Armenia,Potatoes,2001,114619,562.0,79.31,10.18,ARM,3532701.0
Armenia,Maize,2002,37380,562.0,88.77,9.41,ARM,3076793.0
Armenia,Potatoes,2002,122814,562.0,88.77,9.41,ARM,3076793.0
Armenia,Maize,2004,61791,562.0,204.77,9.55,ARM,3691197.0
Armenia,Potatoes,2004,161509,562.0,204.77,9.55,ARM,3691197.0
Armenia,Maize,2005,44692,562.0,220.51,9.58,ARM,4376169.0
Armenia,Potatoes,2005,164459,562.0,220.51,9.58,ARM,4376169.0
Armenia,Maize,2006,33271,562.0,227.55,9.89,ARM,4401590.0
Armenia,Potatoes,2006,163418,562.0,227.55,9.89,ARM,4401590.0
Armenia,Maize,2007,53262,562.0,241.71,9.44,ARM,5100210.0
Armenia,Potatoes,2007,184719,562.0,241.71,9.44,ARM,5100210.0
Armenia,Maize,2008,53424,562.0,218.2,9.51,ARM,5574790.0
Armenia,Potatoes,2008,189096,562.0,218.2,9.51,ARM,5574790.0
Armenia,Maize,2009,57763,562.0,198.36,9.67,ARM,4363332.0
Armenia,Potatoes,2009,185496,562.0,198.36,9.67,ARM,4363332.0
Armenia,Maize,2010,46724,562.0,278.72,11.31,ARM,4252750.0
Armenia,Potatoes,2010,170146,562.0,278.72,11.31,ARM,4252750.0
Armenia,Maize,2011,54257,562.0,278.72,8.93,ARM,4968878.0
